20,WendelDoa,"English, Spanish, Japanese, Portuguese",22637,477,2025-06-12 00:00:00
21,Silvio511668,"English, Spanish",23289,230,2025-06-12 00:00:00
22,CamillyCab1,"English, Korean, French, Korean, Spanish, Spanish",20843,618,2025-06-12 00:00:00
23,JMath_,English,19906,532,2025-06-13 00:00:00
24,NathaliaH2005,English,18980,388,2025-06-12 00:00:00
5,Thamy0137,"English, Italian, Korean, Chinese, Romanian, Greek, Spanish, Chinese, English, French, French, Italian",181237,895,2025-06-13 00:00:00
6,FranciscoB304738,"Italian, Russian, German, Dutch",181235,454,2025-06-12 00:00:00
25,maitebustorff,"English, German, Spanish",12380,0,
26,idiomyas,"English, English, Spanish, Italian, Italian",12194,460,2025-06-12 00:00:00
27,SaraN3pomuceno,"Italian, French, Turkish, English",5768,1,
7,Islan89,"English, French, Spanish, Italian, Latin, Portuguese",118132,569,2025-06-12 00:00:00
8,dprsky,"Portuguese, Russian, French, Italian, English, Korean, French, English, Italian, High Valyrian",98226,495,2025-06-12 00:00:00
9,EvaLayanne22,"Spanish, English, French",68856,445,2025-06-12 00:00:00
10,CarlosHenr184391,"English, Italian",72804,390,2025-06-12 00:00:00
1,Endril_,"English, High Valyrian, Portuguese, Spanish, French",33605,663,2025-06-13 00:00:00
2,vasctiago,"English, German, French",68006,593,2025-06-12 00:00:00
3,aanabeatriiz,"Spanish, English, Italian, German",245178,501,2025-06-13 00:00:00
4,isanascimentto,"English, Spanish",53683,624,2025-06-12 00:00:00
11,black_expresso,"Italian, French, English, Greek, Italian, Spanish, French",64778,338,2025-06-12 00:00:00
12,ArieleNasc12,"Spanish, English",65155,522,2025-06-12 00:00:00
13,.isabellydias,"Italian, Spanish, French, Russian, German, Scottish Gaelic, Finnish, Chinese, Japanese, Esperanto, Latin, German",57449,645,2025-06-12 00:00:00
14,NatanCesar2,"English, Welsh, French, Spanish, English, Spanish, English, Portuguese, Portuguese, French",38677,393,2025-06-12 00:00:00
15,Paz_Rafaela,"English, French",37919,468,2025-06-12 00:00:00
16,CleberMarc520,"English, Spanish",29645,402,2025-06-12 00:00:00
17,Vicktamii,"English, French, Spanish, Korean, Spanish",29450,11,2025-06-12 00:00:00
18,ennessauro,"English, Japanese, Japanese, German, Spanish, English, Spanish",25773,5,2025-06-13 00:00:00
19,Davi-Icaro,"Italian, English, Korean, Russian, Korean",22901,304,
